"","n10","n50","n100","n1000"
"1",0.936086886496497,0.676247018170706,0.629707112406682,0.678096903530168
"2",0.774561882747326,0.766502486916076,0.673702818338088,0.678678845800489
"3",0.794900387240459,0.647423866877331,0.738023969006081,0.660537725172117
"4",0.198673722943481,0.636256851784047,0.681242545792744,0.691941509100599
"5",0.597524674356617,0.651925917176789,0.641158317063965,0.663520165049363
"6",0.641245044232347,0.673322035239009,0.698484767312895,0.698705674078682
"7",0.791965444828425,0.587763633221026,0.637517159685557,0.661893811233387
"8",0.73868590867067,0.59412985764718,0.696338742512067,0.663000085992471
"9",0.903115120841423,0.603930310450531,0.643556254353829,0.662795610590053
"10",0.820340223577584,0.758986645920358,0.648236787746208,0.651855135377121
"11",0.772055297019534,0.70918787867303,0.64604826439898,0.673357298023936
"12",0.702216240239551,0.661574810330993,0.656524969612446,0.672141316114538
"13",0.624714034685827,0.748903837291153,0.608957262669282,0.657911987771125
"14",-0.0473301750293362,0.498437370125872,0.662763029264607,0.686931674244538
"15",0.874081602089505,0.675419257427599,0.632827964403084,0.677522115764954
"16",0.890440660921051,0.658413171353212,0.651946553192514,0.673777215628675
"17",0.690604141351703,0.660434909549221,0.63560584726389,0.678481126523871
"18",0.540031331325348,0.696837457724715,0.659493025938124,0.662372488038038
"19",0.888167324842105,0.724397425448917,0.548125616937748,0.65959387360399
"20",0.691540223134013,0.690152121992168,0.720719757579138,0.663429780082007
"21",0.816047301436788,0.709472716970441,0.690355957030726,0.664771970553644
"22",0.733825422206833,0.652471453839644,0.674988277670851,0.65840711868097
"23",0.578184496597895,0.691101479102227,0.663156563790686,0.657060866964546
"24",0.731416716023393,0.61928989069996,0.640877119770285,0.679498297281313
"25",0.639599860087795,0.625842133803832,0.630804470731566,0.685382949032035
"26",0.551763718892981,0.573383343730739,0.650218154698228,0.686907061060831
"27",0.721946079514763,0.6958664043287,0.64764857201123,0.681706003875102
"28",0.59851688822067,0.72767388379053,0.758072045441997,0.641429301325097
"29",0.309788801969976,0.584216588864972,0.756892952558753,0.672003220074508
"30",0.819461046853563,0.633555103419523,0.664500775096732,0.68201338995366
"31",0.706561344056676,0.722330625814851,0.674660970709694,0.657770427960597
"32",0.0770778271941825,0.686786875518387,0.706368561504719,0.698085642801838
"33",0.527048304782976,0.798426231890156,0.668815282697182,0.668121464704027
"34",0.551171899361333,0.680168662469028,0.753954003220969,0.688746786346032
"35",0.606053328785323,0.675011127310069,0.639495354414732,0.642544882292096
"36",0.746555262604987,0.633951886172933,0.742564894725594,0.662681030552338
"37",0.804451616969677,0.633524000247627,0.707091469333532,0.63825347003811
"38",0.691545112298694,0.738854292768893,0.670119545379477,0.672640537691261
"39",0.223029064786574,0.675224822410144,0.686190525316378,0.651880085776854
"40",0.831415289377993,0.780187583930008,0.699475598033468,0.660108561414637
"41",0.659976657709226,0.696800636552739,0.694800038068584,0.665235147800472
"42",0.89489532017039,0.676757744085487,0.656392415572901,0.678039398886907
"43",0.798957019289392,0.614223814934871,0.717033626197278,0.67089551934611
"44",0.802646151033221,0.68048226744965,0.733622631295584,0.687156712600505
"45",0.218064616130801,0.700694104797456,0.684454848818047,0.668432053376624
"46",0.187529522828162,0.725879028006031,0.698557527236851,0.68692818264005
"47",0.766909224073616,0.653355981675646,0.668655255880239,0.691775858077836
"48",-0.107869749812196,0.634928450294174,0.68075526451203,0.670088255605554
"49",0.11909387783663,0.660691652193914,0.749950431490991,0.66210707569728
"50",0.750612594216641,0.717376697863578,0.613294708088715,0.666139715001972
"51",0.824213155576191,0.539883976048366,0.72270168472363,0.657385043075066
"52",0.39028243440829,0.761197367622061,0.599999713633883,0.650836881438879
"53",0.845253930888146,0.657377917707155,0.648324603154121,0.654567858396924
"54",0.462424777090862,0.650599378291798,0.659806489260636,0.668258006028244
"55",0.882843833412193,0.672360674713185,0.678854088898231,0.662840011656697
"56",0.981815177274919,0.721736390648157,0.747511095724929,0.682466057989576
"57",0.797215124108362,0.667045707149036,0.660588757058039,0.674419809877099
"58",0.912545849979813,0.58336224241101,0.72595212892124,0.6809061728283
"59",0.819806162246056,0.684622261131075,0.71109113275644,0.684948074454611
"60",0.52691692259109,0.543063202215552,0.65030211435361,0.695206586062939
"61",0.101692391673754,0.659567237561936,0.682698287600884,0.690732131453648
"62",0.307537992601984,0.703709488218875,0.720901116152169,0.692532052544657
"63",0.479147969995458,0.707838296580907,0.681619570705489,0.657492324512591
"64",0.532562542762445,0.667808093043558,0.716459011864832,0.659497828779991
"65",0.700260666562967,0.758125982304186,0.67099498319243,0.688475391727364
"66",0.566022193480407,0.709780002549842,0.658074027658461,0.675698013414899
"67",0.713521631938537,0.673708155038596,0.633361705601059,0.663610804481438
"68",0.758954408534264,0.638656663347992,0.665206439648658,0.68042279715629
"69",0.92603040936625,0.606811163329715,0.644789201094384,0.686356114137427
"70",0.753143237494325,0.682395629829562,0.650907003779304,0.691809625351864
"71",0.465372300358622,0.623121261384845,0.615701608271114,0.674204171924967
"72",0.786911197007953,0.690865984577538,0.631209926237792,0.648890074621816
"73",0.844905800718091,0.425024631715244,0.630415720285502,0.682918287168075
"74",0.318894493818432,0.677891963659055,0.658397634641792,0.670625079838341
"75",0.69278413868499,0.731021537925105,0.631550272778302,0.656858943691194
"76",0.751150501557771,0.657342134295295,0.709699449563204,0.692317652310871
"77",0.386282677583451,0.639043672726745,0.676881957819741,0.681370246525996
"78",0.712742844242257,0.858459581802175,0.677556777354928,0.677703712846381
"79",0.844691155858113,0.737887222122388,0.610014885677964,0.66992173233473
"80",0.92888244404489,0.651079523344779,0.762169400380056,0.673921625279174
"81",0.532380304956234,0.575702236127984,0.708796718333714,0.687709236512118
"82",0.593700590818066,0.718485984589851,0.646225127803849,0.695143563978176
"83",0.667173013144214,0.58106214560142,0.764325707758668,0.682924963349608
"84",0.89371376855401,0.617889043206061,0.694520847555737,0.666967034640355
"85",0.746607017606386,0.715891374030539,0.679923424525988,0.683169408226074
"86",0.937834626685417,0.716016543464212,0.711635561086545,0.66059563731906
"87",0.609724664198923,0.756441009133921,0.719785772000067,0.667375074790721
"88",0.541809581453058,0.725743735196548,0.568230360174139,0.645971323275768
"89",0.660716818181946,0.705811603762273,0.669269492312198,0.646227186661572
"90",0.714529194568584,0.773927483107698,0.727618581342306,0.692619763270096
"91",0.284134111117092,0.648925499467963,0.703446045867137,0.685234890160643
"92",0.680109933797388,0.37402230095189,0.698900350141317,0.637826744013058
"93",0.44993909671619,0.784917602785896,0.707101632726785,0.675645192218528
"94",0.691162356016743,0.681286426121094,0.644729134940768,0.676198430852321
"95",0.637257837626938,0.647014138957424,0.592553014490319,0.670305722585442
"96",0.832991423726717,0.694274497134135,0.623174964327836,0.690099734897072
"97",0.855622663684929,0.759606525829137,0.677587276618992,0.645611859154884
"98",0.764604885787016,0.714739164936489,0.680563008064015,0.6660453147812
"99",0.620390221002774,0.586184631712475,0.713352322913431,0.687498382004817
"100",0.803721625366296,0.538219552239387,0.711385097237078,0.665384840158925
"101",0.571402835040028,0.764105425771351,0.761284787739828,0.68576744495994
"102",0.744305190258471,0.616816472785876,0.680351763843557,0.656624027468564
"103",0.300846757105639,0.653147870273099,0.682324182567542,0.680928133081927
"104",0.825341176206694,0.683865283525007,0.601041084574222,0.704360998715131
"105",0.725685761840248,0.723295053290937,0.700706371375325,0.703434012497299
"106",0.714218471195183,0.627656130333686,0.732157780333963,0.6768494516367
"107",0.565812083338402,0.621930071805512,0.556199394211859,0.688334944458745
"108",0.578570477346363,0.48444146885244,0.626055588535608,0.66025150771028
"109",0.647369831758309,0.644229913019176,0.640582479066877,0.683953833785016
"110",0.924477523031445,0.565405425547391,0.554736901121116,0.698994857986123
"111",0.731729447790662,0.674907322438027,0.706630513754378,0.650975479673486
"112",0.689475024309587,0.640459109392692,0.69560725469395,0.701312667389863
"113",0.739350313673893,0.737715733036926,0.792565152529168,0.662547466994969
"114",0.694755977486287,0.643871838175746,0.696227977624411,0.677915455088524
"115",0.743781853389831,0.768325744392023,0.766477856680284,0.681173291516946
"116",0.406666563638061,0.774732440495439,0.550942748371431,0.680553528625299
