"","n","moda_teorica","IC_lower","IC_upper"
"1",10,0.901872966195526,0.589496640486634,0.977723937036522
"2",50,0.863947288478507,0.77935960032191,0.918991555774073
"3",100,0.862347476960245,0.806982429871141,0.903528529606258
"4",1000,0.860706052723307,0.84509200789316,0.874961638112265
